Year,Month,Anomaly,Unc,Anomaly_1,Unc_1,Anomaly_2,Unc_2,Anomaly_3,Unc_3,Anomaly_4,Unc_4
1850,1,-0.384,0.548,,,,,,,,
1850,2,-0.391,0.545,,,,,,,,
1850,3,-0.254,0.609,,,,,,,,
1850,4,-0.685,0.457,,,,,,,,
1850,5,-0.302,0.411,,,,,,,,
1850,6,-0.302,0.457,-0.315,0.311,,,,,,
1850,7,-0.212,0.36,-0.312,0.279,,,,,,
1850,8,-0.192,0.285,-0.305,0.243,,,,,,
1850,9,-0.245,0.327,-0.313,0.247,,,,,,
1850,10,-0.177,0.429,-0.308,0.238,,,,,,
1850,11,-0.158,0.562,-0.31,0.225,,,,,,
1850,12,-0.48,0.445,-0.298,0.216,,,,,,
1851,1,-0.347,0.38,-0.29,0.209,,,,,,
1851,2,-0.306,0.322,-0.297,0.217,,,,,,
1851,3,-0.351,0.518,-0.289,0.224,,,,,,
1851,4,-0.623,0.313,-0.283,0.234,,,,,,
1851,5,-0.322,0.248,-0.281,0.255,,,,,,
1851,6,-0.162,0.308,-0.255,0.276,,,,,,
1851,7,-0.113,0.287,-0.249,0.284,,,,,,
1851,8,-0.274,0.439,-0.247,0.283,,,,,,
1851,9,-0.157,0.377,-0.261,0.264,,,,,,
1851,10,-0.103,0.374,-0.245,0.253,,,,,,
1851,11,-0.132,0.573,-0.231,0.247,,,,,,
1851,12,-0.164,0.523,-0.232,0.247,,,,,,
1852,1,-0.28,0.366,-0.225,0.255,,,,,,
1852,2,-0.287,0.29,-0.216,0.251,,,,,,
1852,3,-0.515,0.298,-0.208,0.237,,,,,,
1852,4,-0.427,0.273,-0.212,0.209,,,,,,
1852,5,-0.153,0.299,-0.202,0.202,,,,,,
1852,6,-0.183,0.273,-0.212,0.194,-0.246,0.189,,,,
1852,7,-0.023,0.394,-0.218,0.184,-0.243,0.184,,,,
1852,8,-0.162,0.418,-0.211,0.167,-0.237,0.176,,,,
1852,9,-0.062,0.34,-0.188,0.167,-0.233,0.174,,,,
1852,10,-0.158,0.189,-0.161,0.168,-0.223,0.175,,,,
1852,11,-0.004,0.517,-0.166,0.165,-0.221,0.174,,,,
1852,12,-0.283,0.445,-0.16,0.168,-0.219,0.17,,,,
1853,1,-0.36,0.329,-0.163,0.175,-0.221,0.167,,,,
1853,2,-0.2,0.358,-0.165,0.193,-0.22,0.166,,,,
1853,3,-0.24,0.33,-0.177,0.186,-0.218,0.165,,,,
1853,4,-0.099,0.202,-0.193,0.2,-0.215,0.165,,,,
1853,5,-0.218,0.283,-0.231,0.181,-0.216,0.171,,,,
1853,6,-0.109,0.396,-0.222,0.183,-0.213,0.172,,,,
1853,7,-0.061,0.374,-0.227,0.195,-0.211,0.172,,,,
1853,8,-0.18,0.473,-0.252,0.204,-0.21,0.172,,,,
1853,9,-0.215,0.311,-0.245,0.227,-0.205,0.171,,,,
1853,10,-0.345,0.269,-0.245,0.234,-0.202,0.17,,,,
1853,11,-0.458,0.251,-0.264,0.23,-0.2,0.171,,,,
1853,12,-0.178,0.377,-0.279,0.23,-0.2,0.169,,,,
1854,1,-0.424,0.552,-0.288,0.233,-0.201,0.173,,,,
1854,2,-0.503,0.399,-0.277,0.234,-0.202,0.172,,,,
1854,3,-0.146,0.477,-0.262,0.247,-0.207,0.171,,,,
1854,4,-0.103,0.342,-0.242,0.26,-0.21,0.169,,,,
1854,5,-0.442,0.402,-0.214,0.271,-0.214,0.169,,,,
1854,6,-0.29,0.354,-0.226,0.272,-0.222,0.165,,,,
1854,7,-0.172,0.309,-0.208,0.25,-0.226,0.164,,,,
1854,8,-0.046,0.367,-0.167,0.223,-0.23,0.16,,,,
1854,9,-0.031,0.276,-0.156,0.203,-0.231,0.162,,,,
1854,10,-0.114,0.33,-0.155,0.206,-0.233,0.163,,,,
1854,11,-0.116,0.32,-0.133,0.193,-0.237,0.166,,,,
1854,12,-0.322,0.601,-0.124,0.178,-0.241,0.164,-0.273,0.171,,
1855,1,-0.215,0.368,-0.137,0.171,-0.248,0.168,-0.272,0.17,,
1855,2,-0.005,0.29,-0.144,0.163,-0.251,0.167,-0.27,0.169,,
1855,3,-0.014,0.377,-0.153,0.172,-0.255,0.168,-0.269,0.169,,
1855,4,-0.088,0.326,-0.146,0.161,-0.257,0.17,-0.264,0.171,,
1855,5,-0.186,0.375,-0.152,0.182,-0.262,0.167,-0.263,0.173,,
1855,6,-0.182,0.295,-0.149,0.177,-0.261,0.164,-0.262,0.174,,
1855,7,-0.325,0.28,-0.153,0.207,-0.265,0.168,-0.263,0.174,,
1855,8,-0.128,0.159,-0.173,0.233,-0.267,0.17,-0.265,0.174,,
1855,9,-0.141,0.328,-0.176,0.225,-0.264,0.173,-0.264,0.173,,
1855,10,-0.032,0.284,-0.206,0.234,-0.269,0.174,-0.265,0.173,,
1855,11,-0.188,0.638,-0.206,0.242,-0.272,0.175,-0.266,0.176,,
1855,12,-0.28,0.527,-0.206,0.258,-0.277,0.177,-0.265,0.179,,
1856,1,-0.267,0.635,-0.193,0.285,-0.281,0.174,-0.265,0.181,,
1856,2,-0.241,0.471,-0.21,0.288,-0.282,0.176,-0.269,0.182,,
1856,3,-0.057,0.373,-0.235,0.3,-0.285,0.181,-0.268,0.184,,
1856,4,-0.448,0.36,-0.257,0.299,-0.283,0.181,-0.264,0.185,,
1856,5,-0.18,0.395,-0.272,0.272,-0.283,0.188,-0.263,0.185,,
1856,6,-0.185,0.366,-0.303,0.25,-0.287,0.192,-0.264,0.185,,
1856,7,-0.173,0.418,-0.322,0.232,-0.288,0.192,-0.265,0.185,,
1856,8,-0.33,0.405,-0.348,0.21,-0.286,0.199,-0.265,0.183,,
1856,9,-0.436,0.335,-0.388,0.211,-0.289,0.19,-0.266,0.183,,
1856,10,-0.299,0.168,-0.4,0.216,-0.29,0.191,-0.268,0.18,,
1856,11,-0.37,0.348,-0.418,0.214,-0.283,0.187,-0.267,0.18,,
1856,12,-0.645,0.528,-0.434,0.235,-0.28,0.189,-0.27,0.178,,
1857,1,-0.504,0.336,-0.456,0.23,-0.284,0.187,-0.272,0.177,,
1857,2,-0.551,0.493,-0.458,0.216,-0.287,0.186,-0.275,0.178,,
1857,3,-0.532,0.176,-0.448,0.213,-0.294,0.189,-0.276,0.179,,
1857,4,-0.599,0.363,-0.446,0.205,-0.296,0.187,-0.275,0.18,,
1857,5,-0.391,0.407,-0.441,0.192,-0.298,0.188,-0.276,0.181,,
1857,6,-0.378,0.223,-0.408,0.168,-0.3,0.189,-0.277,0.178,,
1857,7,-0.438,0.38,-0.413,0.185,-0.3,0.188,-0.28,0.179,,
1857,8,-0.349,0.31,-0.393,0.183,-0.304,0.193,-0.282,0.178,,
1857,9,-0.319,0.251,-0.356,0.183,-0.305,0.192,-0.284,0.179,,
1857,10,-0.275,0.253,-0.337,0.186,-0.306,0.192,-0.284,0.18,,
1857,11,-0.307,0.443,-0.339,0.181,-0.304,0.196,-0.289,0.179,,
1857,12,-0.254,0.329,-0.343,0.207,-0.305,0.2,-0.293,0.179,,
1858,1,-0.559,0.396,-0.329,0.193,-0.305,0.203,-0.294,0.182,,
1858,2,-0.318,0.383,-0.322,0.204,-0.31,0.203,-0.296,0.185,,
1858,3,-0.087,0.184,-0.326,0.22,-0.311,0.202,-0.296,0.185,,
1858,4,-0.362,0.254,-0.326,0.227,-0.315,0.2,-0.297,0.186,,
1858,5,-0.421,0.328,-0.334,0.236,-0.316,0.199,-0.298,0.186,,
1858,6,-0.426,0.477,-0.35,0.261,-0.318,0.201,-0.301,0.183,,
1858,7,-0.275,0.301,-0.344,0.266,-0.318,0.204,-0.303,0.182,,
1858,8,-0.265,0.386,-0.349,0.313,-0.327,0.206,-0.306,0.182,,
1858,9,-0.366,0.504,-0.371,0.302,-0.332,0.211,-0.308,0.185,,
1858,10,-0.269,0.289,-0.35,0.3,-0.325,0.213,-0.308,0.185,,
1858,11,-0.408,0.539,-0.319,0.303,-0.327,0.212,-0.307,0.186,,
1858,12,-0.439,0.67,-0.291,0.291,-0.327,0.212,-0.308,0.186,,
1859,1,-0.495,0.46,-0.302,0.307,-0.329,0.209,-0.308,0.186,,
1859,2,-0.375,0.699,-0.3,0.306,-0.328,0.207,-0.309,0.186,,
1859,3,-0.346,0.477,-0.309,0.294,-0.325,0.208,-0.311,0.184,,
1859,4,-0.116,0.421,-0.305,0.288,-0.326,0.206,-0.315,0.183,,
1859,5,-0.048,0.318,-0.293,0.282,-0.32,0.205,-0.313,0.181,,
1859,6,-0.094,0.448,-0.289,0.267,-0.318,0.209,-0.312,0.181,,
1859,7,-0.405,0.458,-0.269,0.249,-0.319,0.211,-0.311,0.181,,
1859,8,-0.235,0.324,-0.256,0.214,-0.32,0.217,-0.314,0.181,,
1859,9,-0.479,0.32,-0.237,0.222,-0.321,0.219,-0.316,0.182,,
1859,10,-0.217,0.329,-0.237,0.214,-0.317,0.219,-0.317,0.182,,
1859,11,-0.268,0.497,-0.241,0.227,-0.315,0.217,-0.318,0.183,,
1859,12,-0.387,0.525,-0.253,0.233,-0.314,0.214,-0.319,0.182,-0.26,0.176
1860,1,-0.263,0.286,-0.246,0.224,-0.313,0.213,-0.318,0.184,-0.26,0.176
1860,2,-0.216,0.346,-0.259,0.214,-0.313,0.211,-0.318,0.188,-0.26,0.174
1860,3,-0.111,0.402,-0.235,0.202,-0.314,0.213,-0.319,0.189,-0.259,0.175
1860,4,-0.117,0.358,-0.241,0.195,-0.312,0.212,-0.32,0.19,-0.256,0.176
1860,5,-0.097,0.462,-0.24,0.22,-0.316,0.211,-0.32,0.189,-0.255,0.177
1860,6,-0.241,0.346,-0.24,0.239,-0.324,0.211,-0.319,0.192,-0.255,0.176
1860,7,-0.315,0.433,-0.241,0.27,-0.323,0.212,-0.315,0.195,-0.255,0.177
1860,8,-0.402,0.317,-0.289,0.268,-0.325,0.213,-0.315,0.195,-0.255,0.178
1860,9,-0.19,0.365,-0.308,0.294,-0.328,0.21,-0.313,0.195,-0.255,0.179
1860,10,-0.28,0.362,-0.301,0.323,-0.326,0.21,-0.314,0.196,-0.256,0.179
1860,11,-0.263,0.564,-0.318,0.323,-0.324,0.21,-0.313,0.194,-0.257,0.181
1860,12,-0.386,0.557,-0.312,0.306,-0.324,0.204,-0.312,0.196,-0.257,0.181
1861,1,-0.274,0.582,-0.313,0.3,-0.326,0.203,-0.311,0.194,-0.257,0.181
1861,2,-0.796,0.414,-0.301,0.292,-0.329,0.201,-0.311,0.192,-0.257,0.18
1861,3,-0.33,0.596,-0.304,0.302,-0.331,0.201,-0.312,0.195,-0.255,0.179
1861,4,-0.037,0.472,-0.314,0.287,-0.332,0.2,-0.31,0.194,-0.254,0.179
1861,5,-0.299,0.482,-0.291,0.262,-0.331,0.197,-0.314,0.194,-0.252,0.179
1861,6,-0.174,0.248,-0.304,0.256,-0.329,0.193,-0.314,0.196,-0.252,0.179
1861,7,-0.322,0.36,-0.326,0.231,-0.328,0.193,-0.314,0.194,-0.252,0.18
1861,8,-0.263,0.266,-0.314,0.224,-0.331,0.187,-0.312,0.192,-0.252,0.18
1861,9,-0.223,0.417,-0.334,0.204,-0.333,0.191,-0.311,0.192,-0.252,0.18
1861,10,-0.4,0.359,-0.36,0.188,-0.34,0.188,-0.31,0.191,-0.253,0.181
1861,11,0.01,0.424,-0.356,0.184,-0.344,0.187,-0.306,0.191,-0.253,0.18
1861,12,-0.536,0.53,-0.369,0.181,-0.344,0.185,-0.3,0.192,-0.254,0.178
1862,1,-0.549,0.382,-0.376,0.193,-0.339,0.184,-0.298,0.194,-0.253,0.178
1862,2,-0.646,0.379,-0.384,0.2,-0.341,0.182,-0.297,0.195,-0.252,0.178
1862,3,-0.569,0.348,-0.393,0.219,-0.338,0.181,-0.294,0.195,-0.251,0.178
1862,4,-0.345,0.437,-0.373,0.209,-0.339,0.182,-0.292,0.194,-0.251,0.178
1862,5,-0.256,0.31,-0.419,0.206,-0.338,0.185,-0.292,0.193,-0.25,0.179
1862,6,-0.326,0.429,-0.438,0.237,-0.338,0.183,-0.291,0.193,-0.25,0.179
1862,7,-0.406,0.411,-0.433,0.25,-0.335,0.186,-0.29,0.193,-0.251,0.179
1862,8,-0.363,0.308,-0.419,0.264,-0.333,0.189,-0.291,0.192,-0.25,0.179
1862,9,-0.331,0.511,-0.393,0.265,-0.332,0.192,-0.29,0.193,-0.25,0.179
1862,10,-0.162,0.377,-0.381,0.254,-0.334,0.195,-0.289,0.192,-0.25,0.18
1862,11,-0.542,0.386,-0.384,0.243,-0.336,0.191,-0.289,0.194,-0.252,0.18
1862,12,-0.765,0.525,-0.395,0.235,-0.333,0.193,-0.29,0.195,-0.252,0.18
1863,1,-0.48,0.57,-0.392,0.22,-0.325,0.196,-0.288,0.196,-0.252,0.18
1863,2,-0.477,0.555,-0.402,0.21,-0.319,0.196,-0.287,0.198,-0.252,0.182
1863,3,-0.259,0.394,-0.413,0.208,-0.315,0.198,-0.287,0.198,-0.251,0.182
1863,4,-0.209,0.321,-0.428,0.216,-0.313,0.201,-0.284,0.199,-0.252,0.183
1863,5,-0.287,0.308,-0.411,0.206,-0.311,0.202,-0.281,0.2,-0.252,0.183
1863,6,-0.456,0.433,-0.374,0.196,-0.306,0.204,-0.278,0.198,-0.253,0.183
1863,7,-0.375,0.334,-0.371,0.198,-0.304,0.2,-0.276,0.199,-0.253,0.183
1863,8,-0.486,0.355,-0.378,0.187,-0.295,0.195,-0.275,0.197,-0.253,0.183
1863,9,-0.464,0.446,-0.396,0.191,-0.292,0.196,-0.273,0.196,-0.253,0.183
1863,10,-0.342,0.445,-0.423,0.179,-0.296,0.195,-0.269,0.196,-0.253,0.183
1863,11,-0.329,0.332,-0.421,0.175,-0.302,0.197,-0.266,0.197,-0.252,0.183
